Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.08238983,19.28166008,21.80771065,21.32317924,19.75715065,,14.90291023,18.88828087,,20.79264069,19.02882957,21.56355095,22.1767807,21.75053978,20.63408089,21.87763023,19.61797905,23.20137978,21.85375023,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.05873871,17.00898123,,17.40175819,,17.23495674,18.45666122,17.47099972,17.24325943,17.45254993,16.84451008,16.55500031,16.48048782,17.22100067,15.29199982,15.50199986,15.51599979,14.09299994,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55921173,10.8146925,4.86058569,6.492490292,6.395579815,5.146921635,6.489447594,7.13206768,7.964570045,7.284904957,8.260235786,8.202471733,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.82036018,15.32380962,15.73152494,14.52521038,16.40001965,17.05612469,16.97918987,17.95463943,18.00916958,18.0316906,18.17561913,17.61123085,15.11833,14.53979969,15.19999981,15.09000015,14.72781467,13.37943983,16.3627491,17.20234489,14.24300003,14.45100021,15.49108505,14.48000002,14.19500017
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.114679813,,5.255080223,,,,,7.992350101,7.454790115,,,11.46000004,8.68476963,8.960000038,8.369999886,8.826999664,7.130000114,8.918999672,6.551000118,6.763999939,5.409999847,6.045000076,6.467000008,6.920000076,6.639999866,7.725999832
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3716507,10.7679863,11.07501793,10.79070854,,11.48573399,11.10684299,11.62699509,11.58003235,10.98846054,10.44102383,10.82978725,10.57019043,10.97069645,11.40017986,10.1343832,9.833778381,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842000008,6.195529938,13.31521034,10.44281006,9.990980148,9.392439842,13.46191978,10.89523983,8.991999626,6.349999905,6.961249828,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48923969,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.56886959,12.79823017,14.75561047,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39877033,,15.62125969,15.87753963,16.22615051,16.35596085,16.44220924,14.35472012,15.13930035,15.8031702,15.50984001,15.10157013,15.74783993,16.02066994,15.04796982,15.1585598,14.51826,14.45792961,13.79932976,13.96331024,13.35554028,13.26391983,12.52334023,12.5300703,12.42228985,12.28489971,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.749751091,,,,8.891125679,8.988576889,10.00509262,9.572380066,9.667304039,9.702664375,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.43941021,,,11.70153999,,,,,,,6.928140163,,,10.14299965,10.72999954,10.31700039,7.894999981,7.756999969,7.706999779,7.664999962,7.131000042,7.379000187,6.860000134,9.168000221,9.803999901
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.82420254,15.62589169,15.09505367,15.0764637,14.79484749,17.11578178,17.12748146,15.39351368,15.56298923,15.03333378,14.88242722,14.89055347,14.84958649,15.10843658,15.29336834,14.45625305,13.14539528,13.94469357,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.399205208,9.533905029,9.526359558,9.722205162,9.458568573,9.693655014,9.803499222,9.770256996,9.733651161,9.422001839,9.650598526,9.778713226,9.819505692,9.811909676,9.881762505,8.949609756,8.811378479,8.977280617,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.504220963,10.04566574,9.186688423,7.776549816,7.737988949,7.118692398,7.699596882,8.266283035,9.445950508,7.820628166,8.454236031,8.593153,9.802010536,10.78862762,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86403084,18.12272072,,16.75643921,23.79244041,16.71360016,,,13.51863956,10.73526001,11.43313026,12.48608017,,9.179080009,10.95926952,,,12.61553955,16.30168915,16.58810043,14.97929955,16.42831993,17.24325943,23.84000015,27.49724007,20.78461075,19.76485062,19.51926041,21.22200012,20.74200058,20.43899918,20.63699913,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.97798347,11.53674412,11.36902332,11.27712917,11.13274479,11.21544456,11.22957039,11.06992149,11.35172081,11.34249592,11.73614788,11.69543076,11.97686672,11.87883949,11.81700134,11.14883709,11.31968021,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.46174049,17.88518906,13.51319981,15.31058025,14.12907982,16.68252945,19.2139492,18.79039001,19.70960999,14.94869041,19.08857918,18.17561913,26.14396095,20.95999908,25.02131081,22.34122086,22.22771072,17.4795208,18.79140091,19.87965012,17.70918083,18.44099998,,17.59600067,17.18799973,19.04299927
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.212820053,,,,,,19.94968033,,7.34017992,,,,,,,,,19.49419022,18.20170021,17.86381912,,,16.17281914,19.50061035,15.89538002,16.16527939,19.36811066,18.02708054,,21.44400024,22.66116905,20.88899994,21.11199951,21.56200027,21.95800018,20.29700089
Bangladesh,,,,,,,,,,,,,,,,,,,,,5.263599873,6.634029865,6.394110203,6.473259926,8.087619781,8.388629913,9.130049706,10.46842957,,,11.19102955,11.06210041,12.53666973,12.11384964,,,,15.19686985,,18.12978935,20.49041939,18.58477974,15.69379997,16.68162918,15.95312023,,17.33653069,18.15340042,17.81619072,14.02987003,,16.79397011,12.27799988,11.81200027,13.30599976,12.04399967,13.98200035,13.85499954,11.95800018,11.32900047,10.38700008,10.22099972,11.73400021,12.01200008
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.27114868,10.72626781,9.527602196,10.65262699,10.36380005,9.889651299,9.986122131,9.660421371,9.759604454,9.427565575,9.69010067,9.763916016,10.1444025,9.541225433,10.48226261,9.456896782,10.56167126,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91866016,11.02672958,10.55867004,,,,8.179829597,7.458600044,8.684029579,7.32818985,10.7159996,7.223849773,10.82400036,9.869000435,9.366999626,9.081000328,9.295999527,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79520988,,,,,,,,,,12.49499989,12.36200047,13.04399967,12.1420002,12.72000027,12.44499969,12.10400009,11.70800018,12.6789999,11.29199982,12.18200016,12.28199959,11.44200039,11.59399986
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.26339626,14.29337883,13.0917244,12.12493229,12.1798172,13.43798161,14.53167248,13.08640671,12.77383041,13.52054405,13.05056095,13.57799625,12.97870255,13.26404095,13.07826328,12.87037659,12.36244392,12.81081104,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28270912,15.61225986,18.30537033,,16.02519035,16.32427979,,,,19.4965992,22.05760956,22.61046982,21.56399918,21.22999954,23.13282013,21.56307983,21.59255028,20.48530006,21.51865959,22.14901924,22.22006035,18.99353981,17.95356941,17.83135033,18.88100052
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03660011,11.11384964,12.10540009,,,,13.97043037,12.93424034,13.04399967,13.92300034,12.47799969,7.796440125,9.018799782,11.59700012,7.773469925,11.8380003,12.44200039,12.28600025,12.02099991,11.63000011,12.17700005
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.56677055,20.58189964,19.02747917,21.1472702,22.13941956,18.24453926,18.39156914,17.70251083,17.28778076,18.2627697,20.41271019,20.97863007,21.60943031,22.43413925,22.21692085,23.14578056,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.290550232,8.133020401,,9.672229767,10.32973003,11.39523983,11.96280003,12.64301968,13.09782028,13.3970499,13.63895988,13.96629047,13.72297001,13.46776962,12.69797993,12.99405956,13.08882999,12.81521034,12.74026966,11.56258965,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16819954,22.15035057,26.88882065,24.72448921,18.58456039,18.61813927,18.24297905,,17.22097015,15.71065044,16.10058022,18.09633064,,16.70269012,14.84482002,17.45105934,17.80999947,13.36244965,12.87915039,16.35899925,13.85986042,16.14246941,14.84473038,12.73071957,13.60200024
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,13.07098961,11.2389698,,,,,9.586009979,11.84342957,10.06579018,8.710269928,8.226819992,9.18062973,9.276000023,,,,,8.760890007,8.893429756,8.920740128,,,,,,,,,,5.302080154,9.182189941,9.726420403,,9.984600067,,11.44194984,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.92039013,13.22609997,,,18.60663033,22.83286095,,,15.1049099,12.84471035,10.29551983,11.3875103,,15.68694973,17.45413971,19.90500069,18.22500038,19.45199966,17.20700073,18.08600044,18.54899979,15.71000004,19.65399933,17.79999924
Botswana,,,,,,,,,,,,,,,,,,,,,,,,14.22157001,15.38490963,15.27449989,15.36186981,16.55583954,15.8807497,,16.36691093,,16.16987038,,,,,,,,,,,,,25.8235302,,26.50778961,,20.47739983,23.5510006,24.19499969,22.91200066,20.91300011,22.65999985,21.65800095,22.00399971,21.52099991,21.31999969,22.34199905,21.46500015,,,
